"","player_name","new_club","price_pounds","new_league"
"317","James Rodríguez","Bayern Munich"," ","Premier League"
"318","Jack Cork","Burnley","8000000","Premier League"
"319","Ruben Loftus-Cheek","Crystal Palace"," ","Premier League"
"320","Anton Donkor","Everton"," ","Premier League"
"321","Ben Pierce","West Bromwich Albion"," ","Premier League"
"322","Tiémoué Bakayoko","Chelsea","39700000","Premier League"
"323","Markus Suttner","Brighton","3500000","Premier League"
"324","Kyle Walker","Manchester City","50000000","Premier League"
"325","Nathaniel Chalobah","Watford","5000000","Premier League"
"326","Douglas Luiz ","Manchester City","10000000","Premier League"
"327","Tre Pemberton","Stoke City"," ","Premier League"
"328","Marc Walsh","Swansea City"," ","Premier League"
"329","Ahmed Hegazi","West Bromwich Albion"," ","Premier League"
"330","Jairo Riedewald","Crystal Palace","7900000","Premier League"
"331","Eliaquim Mangala","Manchester City"," ","Premier League"
"332","Mario Suárez","Watford"," ","Premier League"
"333","Samir Nasri","Manchester City"," ","Premier League"
"334","Cian Harries ","Swansea City","500000","Premier League"
"335","Eldin Jakupovic","Leicester City","2000000","Premier League"
"336","Danilo","Manchester City","26500000","Premier League"
"337","Marko Arnautovic","West Ham United","20000000","Premier League"
"338","Andrew Robertson","Liverpool","8000000","Premier League"
"339","Mathias Normann","Brighton","1250000","Premier League"
"340","Javier Hernández","West Ham United","16000000","Premier League"
"341","Javier Manquillo","Newcastle United","4500000","Premier League"
"342","Kurt Zouma","Stoke City"," ","Premier League"
"343","Álvaro Morata","Chelsea","58000000","Premier League"
"344","Benjamin Mendy","Manchester City","52000000","Premier League"
"345","Izzy Brown","Brighton"," ","Premier League"
"346","Phil Bardsley","Burnley","2000000","Premier League"
"347","Mikel Merino","Newcastle United"," ","Premier League"
"348","Nemanja Matic","Manchester United","40000000","Premier League"
"349","Steven Alzate","Brighton"," ","Premier League"
"350","Lewis Gibson","Everton"," ","Premier League"
"351","Joe Hart","West Ham United"," ","Premier League"
"352","Kelechi Iheanacho","Leicester City","25000000","Premier League"
"353","Andreas Christensen","Chelsea"," ","Premier League"
"354","Philipp Wollscheid","Stoke City"," ","Premier League"
"355","Ales Mateju","Brighton","1500000","Premier League"
"356","Timothy Fosu-Mensah","Crystal Palace"," ","Premier League"
"357","Davy Pröpper","Brighton","12660000","Premier League"
"358","Sead Haksabanovic","West Ham United","3000000","Premier League"
"359","George Thomas","Leicester City"," ","Premier League"
"360","Richarlison","Watford","11500000","Premier League"
"361","Adam Legzdins","Burnley"," ","Premier League"
"362","Mario Lemina","Southampton","16300000","Premier League"
"363","Eric Maxim Choupo-Moting","Stoke City","0","Premier League"
"364","Andre Gray","Watford","18500000","Premier League"
"365","Jose Izquierdo","Brighton","13500000","Premier League"
"366","Bruno Martins Indi","Stoke City","7000000","Premier League"
"367","Gareth Barry","West Bromwich Albion","1000000","Premier League"
"368","Gylfi Sigurdsson","Everton","45000000","Premier League"
"369","Soufyan Ahannach","Brighton"," ","Premier League"
"370","Jesé Rodríguez","Stoke City"," ","Premier League"
"371","Joselu","Newcastle United","5000000","Premier League"
"372","Larry Kayode","Manchester City","3500000","Premier League"
"373","Davinson Sánchez","Tottenham Hotspur","42000000","Premier League"
"374","Chris Wood","Burnley","15000000","Premier League"
"375","Sam Clucas","Swansea City","15000000","Premier League"
"376","Wesley Hoedt","Southampton","15000000","Premier League"
"377","Abdelhamid Sabiri","Huddersfield Town","1000000","Premier League"
"378","Paulo Gazzaniga","Tottenham Hotspur","2000000","Premier League"
"379","Florent Hadergjonaj","Huddersfield Town"," ","Premier League"
"380","Zlatan Ibrahimovic","Manchester United"," ","Premier League"
"381","Oliver Burke","West Bromwich Albion","15000000","Premier League"
"382","Jack Rose","Southampton"," ","Premier League"
"383","André Carrillo","Watford"," ","Premier League"
"384","Dimitri Foulquier","Watford"," ","Premier League"
"385","Robert Green","Huddersfield Town"," ","Premier League"
"386","Naby Keïta","Liverpool"," ","Premier League"
"387","Kevin Wimmer","Stoke City","18000000","Premier League"
"388","Kieran Gibbs","West Bromwich Albion","7000000","Premier League"
"389","Juan Foyth","Tottenham Hotspur","9000000","Premier League"
